rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54414518,신입,2026-07-19 15:46:59,2026-07-09,등록일,(주)에이치알그룹,법적 선임 약사-법적 관리 및 공정/연구 지원,"약사, ,, 바이오",서울 강남구,경력15년↓,대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54414518
54377132,신입,2026-07-19 15:46:59,2026-07-06,등록일,(주)유니에스,[상여금] 대전 을지대학교병원 중앙공급실 직원 채용,"간호조무사, ,, 대학병원, ,, 요양병원, ,, 요양보호사, ,, 중환자실, 외",대전 서구,경력무관,학력무관,,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54377132
54284415,신입,2026-07-19 15:46:59,2026-06-25,등록일,(주)유니에스,[신촌 세브란스병원] 병동파트 보조 사원 채용 - 주5일,"중환자실, ,, 수술, ,, 매장매니저, ,, 수술보조, ,, 개인병원, 외",서울전체,경력무관,고졸↑,,~07/25(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54284415
54392292,신입,2026-07-19 15:46:59,2026-07-07,등록일,(주)맨파워코리아,"[이천신규센터오픈]셔틀/의류 및 잡화 물류 피킹,지게차 채용","패킹(포장), ,, 출고/출하, ,, 집하/분류, ,, 전동지게차, ,, 창고관리, 외",경기 이천시,경력무관,학력무관,정규직,~08/06(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54392292
54247800,신입,2026-07-19 15:46:59,2026-06-22,수정일,에이스휴먼파워(주),[대한제분/인근지점배치] 아티제 바리스타 대규모 채용,"카페매니저, ,, 캐셔, ,, 파티쉐, ,, 매장매니저, ,, 백화점, 외",인천 연수구,경력무관,고졸↑,계약직,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54247800
54365609,신입,2026-07-19 15:46:59,2026-07-10,수정일,(주)사람인에이치에스,[맘스터치/직영점]매장 매니저(트레이너~캡틴) 채용,"카페매니저, ,, 객실관리, ,, 캐셔, ,, 홀매니저, ,, 매장매니저, 외",서울전체,경력무관,학력무관,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54365609
54254119,신입,2026-07-19 15:46:59,2026-07-16,수정일,(주)맨파워코리아,#대기업/평택포승/차량 출고센터 운전 및 외부검수 직원모집,"택시기사, ,, 육상운송, ,, 정비기사, ,, 납품운전원, ,, 대리운전, 외",경기 평택시,경력무관,학력무관,,~07/23(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54254119
54475976,신입,2026-07-19 15:46:59,2026-07-15,등록일,(주)사람인에이치에스,[맘스터치/직영점]수도권 매장 운영 전문가 채용(트레이너~캡틴),"카페매니저, ,, 객실관리, ,, 캐셔, ,, 홀매니저, ,, 매장매니저, 외",서울전체,경력무관,학력무관,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54475976
54324577,신입,2026-07-19 15:46:59,2026-06-30,등록일,(주)사람인에이치에스,[서울/중견/정규직] 양식조리파트 / 식품제조 생산기사 채용,"카페매니저, ,, 객실관리, ,, 캐셔, ,, 포장, ,, 생산, 외",경기전체,경력무관,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54324577
54433370,신입,2026-07-19 15:46:59,2026-07-10,등록일,에이스휴먼파워(주),[SPC/월 275만/식대지급] 라그릴리아 조리 채용,"카페매니저, ,, 캐셔, ,, 청소, ,, 매장매니저, ,, 백화점, 외",서울 마포구,경력무관,학력무관,,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54433370
54472889,신입,2026-07-19 15:46:59,2026-07-15,수정일,에이스휴먼파워(주),[경력채용/급여협의] 오리지널팬케이크 홀/조리 채용,"호텔리어, ,, 캐셔, ,, 인사, ,, 안내데스크, ,, 매장매니저, 외",서울 종로구,경력무관,고졸↑,,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54472889
54406145,신입,2026-07-19 15:46:59,2026-07-08,등록일,에이스휴먼파워(주),[SPC/월 275만/양식] 라그릴리아 강남/공덕 조리 채용,"카페매니저, ,, 캐셔, ,, 청소, ,, 매장매니저, ,, 백화점, 외",서울 마포구,경력무관,학력무관,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54406145
