job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크
6235606,마케팅,2026-07-20 01:20:09,2026-07-06,더파운더즈,[ANUA] 글로벌 화장품 브랜드컴플라이언스 단기 인턴,,서울 / 서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6235606
6235459,마케팅,2026-07-20 01:20:09,2026-07-06,Cardinal Health Korea,[외국계 의료기기 영업] Associate Product Specialist,,서울,인턴.신입 / 사원,,08.05,https://www.peoplenjob.com/jobs/6235459
6235413,마케팅,2026-07-20 01:20:09,2026-07-06,콘센트릭스,U 헬스앱 글로벌 CS 담당자,,경기도 수원시 영통구 삼성로 210,인턴.신입 / 사원,,07.31,https://www.peoplenjob.com/jobs/6235413
6235392,마케팅,2026-07-20 01:20:09,2026-07-06,MEMEBOX(미미박스),북미 인플루언서 마케팅 인턴,,서울 강남,인턴.신입,,08.05,https://www.peoplenjob.com/jobs/6235392
6233896,마케팅,2026-07-20 01:20:09,2026-07-03,JLL Korea,[JLL] 물류부동산 LM팀 - 사원대리급 (신입 지원 가능),,서울,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6233896
6233871,마케팅,2026-07-20 01:20:09,2026-07-03,더파운더즈,[ANUA] 글로벌 그로스/퍼포먼스 마케팅 매니저,,서울 강남,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6233871
6233861,마케팅,2026-07-20 01:20:09,2026-07-03,더파운더즈,[ANUA 아누아] 틱톡샵 컨텐츠 마케팅 / 퍼포먼스 마케팅,,서울 / 서울 강남,인턴.신입 / 사원 / 대리.과장,,채용시,https://www.peoplenjob.com/jobs/6233861
6233733,마케팅,2026-07-20 01:20:09,2026-07-03,라카코스메틱스,U [Laka] 일본 이커머스 MD,,서울 마포구,인턴.신입 / 사원 / 대리.과장,,07.31,https://www.peoplenjob.com/jobs/6233733
6233168,마케팅,2026-07-20 01:20:09,2026-07-02,마크비전,[글로벌기업/재택가능] Digital Risk Protection Specialist (교대 근무 가능자),,서울 / 서울 강남,인턴.신입 / 사원,,08.01,https://www.peoplenjob.com/jobs/6233168
6232718,마케팅,2026-07-20 01:20:09,2026-07-02,타사키코리아,TASAKI Korea | E-commerce Specialist,,서울 강남,인턴.신입,,08.01,https://www.peoplenjob.com/jobs/6232718
6233270,마케팅,2026-07-20 01:20:09,2026-07-02,Adapt,[전환형인턴] 글로벌 인플루언서마케터 (중화권),,서울 강남,인턴.신입,,08.31,https://www.peoplenjob.com/jobs/6233270
6232454,마케팅,2026-07-20 01:20:09,2026-07-01,TI IMAGE PTE. LTD.,"임상시험 전문서비스, 사업개발실, 영업마케팅 담당자 (2년 이상)",,서울 / 송파,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6232454
6232252,마케팅,2026-07-20 01:20:09,2026-07-01,마크비전,[글로벌기업/재택가능] Digital Risk Protection Specialist (교대 근무 가능자),,서울 / 서울 강남,인턴.신입 / 사원,,07.31,https://www.peoplenjob.com/jobs/6232252
6231456,마케팅,2026-07-20 01:20:09,2026-06-30,MEMEBOX(미미박스),"Growth & Marketing Intern, Nooni (인턴)",,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6231456
6230988,마케팅,2026-07-20 01:20:09,2026-06-29,제니엘,[외국계/리치몬트코리아] 샤프하우젠 CRM Intern,,서울 중구,인턴.신입 / 사원,,07.29,https://www.peoplenjob.com/jobs/6230988
6229257,마케팅,2026-07-20 01:20:09,2026-06-26,BGC 코리아,[BGC 코리아] 이자율파생상품 (IRS) 브로커 채용,,서울,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6229257
6229092,마케팅,2026-07-20 01:20:09,2026-06-26,바우머코리아,[바우머코리아]-Field Sales Engineer 모집_근무지역 : 울산,,울산,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6229092
6228680,마케팅,2026-07-20 01:20:09,2026-06-25,Prosearch Korea Inc.,럭셔리 브랜드 Marketing&PR Specailist,,서울 강남,인턴.신입 / 사원,,07.25,https://www.peoplenjob.com/jobs/6228680
6227726,마케팅,2026-07-20 01:20:09,2026-06-24,마크비전,[글로벌기업/재택가능/신입O] AI 운영 담당자 (Digital Risk Protection Specialist),,서울 / 서울 강남,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6227726
6227785,마케팅,2026-07-20 01:20:09,2026-06-24,더하이어코리아 주식회사,"외국계 소비재 - 마케팅, 프로모션 지원",,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6227785
6224832,마케팅,2026-07-20 01:20:09,2026-06-19,더파운더즈,[ANUA 아누아] 홍콩/대만 콘텐츠 마케팅 인턴,,서울 강남,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6224832
6224789,마케팅,2026-07-20 01:20:09,2026-06-19,더파운더즈,[ANUA 아누아] 대만 인플루언서 마케팅 인턴,,서울 강남,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6224789
6240732,해외영업,2026-07-20 01:20:09,2026-07-14,Lynxeo Korea,[잠실/링세오코리아] Power Sales Back Office (해외영업/정규직),,서울 잠실 / 송파구,인턴.신입 / 사원,,08.13,https://www.peoplenjob.com/jobs/6240732
