rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크,매칭타겟명
54384475,신입,2026-07-19 15:46:59,2026-07-06,수정일,에스케이에코플랜트(주),[SK에코플랜트] 용인 Cluster 1기 반도체현장 CAD원 채용,"CAD, ,, 건축",경기 용인시 처인구,경력무관,학력무관,계약직,~08/05(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54384475,에스케이
54451616,신입,2026-07-19 15:46:59,2026-07-13,등록일,(주)폴라리스세원,자동차부품 품질보증 경력 및 수입검사,"자동차, ,, 품질분석, ,, 품질보증, ,, QC, ,, 품질관리, 외",경기 평택시,신입·경력,고졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54451616,폴라리스세원
54457346,신입,2026-07-19 15:46:59,2026-07-14,등록일,SK네트웍스(주),워커힐호텔 직영 서울 중구 고급 중식당(금룡)신입 조리사 모집,"조리사, ,, 호텔, ,, 중식당",서울 중구,신입·경력,초대졸↑,계약직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54457346,SK네트웍스
54157862,신입,2026-07-19 15:46:59,2026-07-13,수정일,(주)아이씨디머트리얼즈,(주)아이씨디 머트리얼즈 설비담당자 채용,"산업설비, ,, 설비보수, ,, 설비점검, ,, 전기설비, ,, LED·AMOLED",경기 안성시,신입·경력,초대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54157862,아이씨디
54429015,신입,2026-07-19 15:46:59,2026-07-10,등록일,(주)케이티엠앤에스,(주)케이티엠앤에스 KT직영점 영업·판매 정규직 채용 (동작구),"통신기기판매, ,, 영업, ,, 고객관리, ,, 해피콜, ,, 핸드폰판매, 외",서울 동작구,경력무관,학력무관,정규직,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54429015,케이티
54431429,신입,2026-07-19 15:46:59,2026-07-10,수정일,(주)에코앤드림,[코스닥] IR/PR 담당자 - 서울,"IR/공시, ,, ESG, ,, 에너지",서울전체,경력 1~8년,초대졸↑,정규직,~09/08(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54431429,에코앤드림
54277420,신입,2026-07-19 15:46:59,2026-07-16,수정일,(주)케이티엠앤에스,(주)케이티엠앤에스 KT 플라자삼양로직영점 채용,"통신기기판매, ,, 고객관리, ,, 영업직, ,, 핸드폰판매, ,, CS, 외",서울 강북구,경력무관,학력무관,정규직,~07/25(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54277420,케이티
54224286,신입,2026-07-19 15:46:59,2026-06-19,등록일,(주)포스코이앤씨,포스코이앤씨 서리풀 업무복합시설 공정관리직(PJT계약직),"현장관리자, ,, 공무, ,, 철근콘크리트, ,, 공정관리, ,, 건축기사, 외",서울 서초구,경력무관,학력무관,계약직,~08/18(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54224286,포스코이앤씨
54392480,신입,2026-07-19 15:46:59,2026-07-07,등록일,(주)케이티엠앤에스,[(주)케이티엠앤에스] 용인지역 영업사원 정규직 모집,"통신기기판매, ,, 매장관리, ,, 판매직, ,, IT·통신기기판매",경기 용인시 수지구,경력무관,학력무관,정규직,~08/06(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54392480,케이티
54429335,신입,2026-07-19 15:46:59,2026-07-10,수정일,(주)케이티엠앤에스,"KT 본사 Plaza매장 공채(모란,서현,수내,정자,미금,오리)채용","영업직, ,, 판매직, ,, CS, ,, IT·통신기기판매",경기 성남시 분당구,경력무관,학력무관,정규직,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54429335,케이티
54377964,신입,2026-07-19 15:46:59,2026-07-06,수정일,(주)신세계인터내셔날,[신세계인터내셔날] ERD (앙팡 리쉬 데프리메) Sales Partner,"샵마스터, ,, 고객응대, ,, 매장관리, ,, 판매직, ,, 의류판매, 외",서울 강남구,경력무관,학력무관,,~08/05(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54377964,신세계인터내셔날
