job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크,매칭타겟명
49537354,마케팅,2026-07-20 00:19:07,2026-07-20,삼성생명보험삼성그룹,헤리티지센터 WMA (Wealth Management Advisor 부유층종합자산관리전문가) FC모집,"은행·금융, 컨설턴트, 금융영업, 보험설계사",서울 강남구 외 1,경력무관,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49537354,삼성생명
49545700,마케팅,2026-07-20 00:19:07,2026-07-20,㈜휴메딕스,[휴온스그룹]휴메딕스 각 부문 경력직 수시채용,"제약·보건·바이오, 경영·비즈니스기획, 마케팅기획, PL·PM·PO",경기 성남시 외 5,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49545700,휴메딕스
49600188,마케팅,2026-07-20 00:19:07,2026-07-20,도이치모터스㈜,[BMW도이치모터스㈜] 본사 마케팅팀 정규직 채용,"자동차·조선·철강·항공, 브랜드마케터, 온라인마케터, 홍보",서울 성동구,경력1년↑,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49600188,도이치모터스
49533122,마케팅,2026-07-20 00:19:07,2026-07-20,㈜모나리자,(주)모나리자 유통영업팀 경력사원 채용,"생활용품·소비재·기타, 제품영업, 서비스영업, 법인영업",서울 동작구,경력,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49533122,모나리자
49475884,마케팅,2026-07-20 00:19:07,2026-07-20,㈜인디에프,글로벌세아그룹(주)인디에프 트루젠 남성복 영업 신입/경력 채용,"섬유·의류·패션, 영업관리",서울 강남구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49475884,인디에프
49575819,마케팅,2026-07-20 00:19:07,2026-07-20,유니퀘스트㈜,비메모리 반도체 영업지원(CSR) 채용,신입·경력1년↑,경기 성남시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49575819,유니퀘스트
49539930,마케팅,2026-07-20 00:19:07,2026-07-20,한국애보트㈜,[애보트메디칼코리아] EP Field Clinical Engineer(Sales Rep),"제약·보건·바이오, 제품영업",서울 강남구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49539930,한국애보트
49491857,마케팅,2026-07-20 00:19:07,2026-07-20,㈜이노션에스,[이노션에스] 국내 솔루션 본부 소셜 AE (일본) / 인턴,"광고·홍보·전시, AE(광고기획자), 온라인마케터, 콘텐츠마케터",서울 강남구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49491857,이노션
49480431,마케팅,2026-07-20 00:19:07,2026-07-20,㈜테스,[테스] 해외영업팀 채용,"제약·보건·바이오, 제품영업, 서비스영업, 해외영업",서울 강남구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49480431,테스
49565281,마케팅,2026-07-20 00:19:07,2026-07-20,노바렉스,(주)노바렉스 서울사무소 B2B 국내영업 신입 및 경력 채용,"식품가공, 제품영업, 법인영업, 영업관리",서울 강남구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49565281,노바렉스
49582704,해외영업,2026-07-20 00:19:07,2026-07-20,콜마비앤에이치㈜,콜마비앤에이치㈜ 건강기능식품 해외영업 경력 채용 (세종 근무),"식품가공, 제품영업, 해외영업",세종,경력,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49582704,콜마비앤에이치
49532004,해외영업,2026-07-20 00:19:07,2026-07-20,㈜아이씨디,(주)아이씨디 해외영업팀(중국) 신입/경력 인재 채용,"반도체·디스플레이·광학, 해외영업, 영업관리",경기 안성시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49532004,아이씨디
49587671,해외영업,2026-07-20 00:19:07,2026-07-20,(주)와이지-원,(주)와이지-원 해외법인팀 신입사원 채용,",",인천 연수구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49587671,와이지-원
49534860,해외영업,2026-07-20 00:19:07,2026-07-20,태웅로직스,[태웅로직스] 2026년 하반기 신입/경력 공개채용,신입·경력1년↑,서울 강남구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49534860,태웅로직스
