rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54411117,마케팅,2026-07-20 00:58:18,2026-07-20,수정일,(주)사람인에이치에스,[LVMH그룹사/하이주얼리] 프레드 현대 판교 SCA(시니어) 채용,"고객관리, ,, 가전판매, ,, 주얼리/액세서리, ,, 임원비서, ,, 세일즈프로모션, 외",서울전체,신입·경력,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54411117
54487964,마케팅,2026-07-20 00:58:18,2026-07-16,등록일,퍼솔켈리코리아(유),[유명 외국계 FMCG기업] Sales Representative 채용,"영업, ,, 영업기획, ,, 영업전략, ,, 영업직, ,, 거래처영업, 외",서울 중구,경력 5~8년,대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54487964
54444876,마케팅,2026-07-20 00:58:18,2026-07-13,수정일,한국보그워너티에스(유),"[외국계]한국보그워너티에스 분야별 채용 (엔지니어, 사무, 인턴)","영업마케팅, ,, 영업, ,, 영업관리, ,, 영업기획, ,, 영업직, 외",충북 음성군,신입·경력,대졸↑,정규직·인턴직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54444876
54397272,마케팅,2026-07-20 00:58:18,2026-07-09,수정일,(주)사람인에이치에스,[대기업계열사/오픈직영점] 코웨이갤러리 롯데 노원점 점원 채용,"가전판매, ,, 수행비서, ,, 임원비서, ,, 세일즈프로모션, ,, 화장품판매, 외",서울전체,경력1년↑,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54397272
54489205,마케팅,2026-07-20 00:58:18,2026-07-16,등록일,존스랑라살(주),[JLL] 물류부동산 LM팀 - 사원대리급 (신입 지원 가능),"부동산투자, ,, 시장조사, ,, 부동산영업, ,, 빌딩",서울 영등포구,경력무관,대졸↑,계약직,~08/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54489205
54427914,마케팅,2026-07-20 00:58:18,2026-07-10,등록일,프라임에셋(주),보험영업 디비 무제한 제공 온라인 보험설계사 모집,"영업마케팅, ,, 영업직, ,, 온라인영업, ,, 보험상담, ,, 손해보험사, 외",경기 고양시 덕양구,경력무관,고졸↑,,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54427914
54429023,마케팅,2026-07-20 00:58:18,2026-07-10,등록일,(주)맨파워그룹코리아,[삼성계열/중구] 호텔신라 CS사무지원 채용,"총무, ,, 메일상담, ,, 단순안내, ,, 사무직, ,, Excel, 외",서울 중구,경력무관,초대졸↑,,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54429023
54358931,마케팅,2026-07-20 00:58:18,2026-07-15,수정일,프라임에셋(주),보험설계사 지인 영업없이 충분히 가능합니다 - 온라인보험영업,"블로그마케팅, ,, 온라인마케팅, ,, 비즈니스마케팅, ,, 광고마케팅, ,, 영업직, 외",경기 고양시 덕양구,경력무관,고졸↑,위촉직,~09/01(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54358931
54270133,마케팅,2026-07-20 00:58:18,2026-06-24,등록일,(주)사람인에이치에스,[정규직/이태리명품/세일즈] 페라가모코리아 신세계경기 CA 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 임원비서, 외",경기전체,신입·경력,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54270133
54294123,마케팅,2026-07-20 00:58:18,2026-07-16,수정일,(주)진성티이씨,㈜진성티이씨 각 부문별 신입/경력 채용,"영업마케팅, ,, 영업, ,, 영업관리, ,, 영업기획, ,, 영업전략, 외",경기 평택시,신입·경력,대졸↑,,~07/26(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54294123
54403261,마케팅,2026-07-20 00:58:18,2026-07-08,등록일,(주)맨파워그룹코리아,"맨파워그룹코리아 시니어인턴 채용(파견직 채용, 관리 컨설턴트)","영업관리, ,, 영업지원, ,, 거래처관리, ,, 고객관리, ,, 인사, 외",서울 강남구,경력10년↑,대졸↑,계약직,~07/23(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54403261
54366976,마케팅,2026-07-20 00:58:18,2026-07-03,등록일,(주)웹젠,[웹젠] 네트워크엔지니어(경력),"APM, ,, IDC, ,, VPN, ,, GCP, ,, ISMS, 외",경기 성남시 분당구,경력2년↑,학력무관,정규직,~09/01(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54366976
54320568,마케팅,2026-07-20 00:58:18,2026-07-10,수정일,템프인(주),[구로/~5000만/정규직]유명기업 통번역 경력직,"통/번역, ,, 관광통역안내사, ,, 영어, ,, 영어, ,, 헤드헌팅",서울 구로구,경력2년↑,초대졸↑,정규직,~07/30(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54320568
54394510,마케팅,2026-07-20 00:58:18,2026-07-07,수정일,(주)사람인에이치에스,[업계1위/코스피상장사] 해외영업(미국) 경력직 채용,"마케팅전략, ,, B2B마케팅, ,, 영업, ,, 영업관리, ,, 영업전략, 외",서울 강남구,경력3년↑,대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54394510
54398432,마케팅,2026-07-20 00:58:18,2026-07-07,수정일,(주)사람인에이치에스,[정규직/업계1위/서울서부권] 시몬스 직영점 판매사원 채용,"가전판매, ,, 수행비서, ,, 임원비서, ,, 세일즈프로모션, ,, 화장품판매, 외",서울전체,신입·경력,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54398432
53984390,마케팅,2026-07-20 00:58:18,2026-07-15,수정일,(주)삼성생명금융서비스,차세대 리더 삼성생명 금융서비스 금융영업 전문가 모집,"영업관리, ,, 영업직, ,, 영업지원, ,, 가전판매, ,, 기술영업, 외",서울 강남구,경력무관,학력무관,,~07/25(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53984390
54398436,마케팅,2026-07-20 00:58:18,2026-07-07,등록일,(주)사람인에이치에스,[정규직/업계1위] 시몬스 직영점 롯데본점 판매사원 채용,"가전판매, ,, 수행비서, ,, 임원비서, ,, 세일즈프로모션, ,, 화장품판매, 외",서울전체,신입·경력,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54398436
54398449,마케팅,2026-07-20 00:58:18,2026-07-07,수정일,(주)사람인에이치에스,[정규직/업계1위/서울동부권] 시몬스 직영점 판매사원 채용,"가전판매, ,, 수행비서, ,, 임원비서, ,, 세일즈프로모션, ,, 화장품판매, 외",서울전체,신입·경력,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54398449
54487258,마케팅,2026-07-20 00:58:18,2026-07-16,수정일,고려신용정보(주),기업 채권관리 및 재무리스크 관리 및 영업관리 모집,"영업마케팅, ,, 영업, ,, 영업관리, ,, 영업기획, ,, 영업전략, 외",대전 서구,경력무관,학력무관,,~08/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54487258
54460499,마케팅,2026-07-20 00:58:18,2026-07-14,등록일,(주)사람인에이치에스,[정규직/LVMH/패션그룹] 셀린느 갤러리아 우먼 TM 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 세일즈프로모션, 외",서울전체,경력 6~15년,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54460499
